,particle,x,y,time step
756,57,5.27492,5.87728,8
757,58,4.42895,4.05936,8
758,59,5.33881,4.85225,8
759,60,4.72861,4.90952,8
760,61,6.00362,5.12519,8
761,62,4.93489,5.35787,8
762,63,5.56244,4.60823,8
763,64,4.74654,4.85759,8
764,65,5.70885,5.45668,8
765,66,4.96875,5.4781,8
766,67,4.87646,4.42957,8
767,68,4.5818,5.24096,8
768,69,5.02315,5.12302,8
769,70,4.94227,4.79594,8
770,71,4.72107,4.81633,8
771,72,5.40059,4.20544,8
772,73,5.09564,5.6912,8
773,74,4.90774,5.46097,8
774,75,4.77212,5.29933,8
775,76,5.27842,4.57327,8
776,77,5.59696,5.08975,8
777,78,4.92186,4.91483,8
778,79,5.2527,4.71379,8
779,80,5.33597,5.75222,8
780,81,5.03714,5.17153,8
781,82,5.19514,5.33122,8
782,83,4.94635,4.5352,8
783,84,5.02712,5.8428,8
784,85,4.82487,4.69744,8
785,86,4.95011,4.8537,8
786,87,4.6655,5.13185,8
787,88,4.9697,5.73153,8
788,89,4.7133,4.85406,8
789,90,5.19516,5.27602,8
790,91,5.27843,5.21535,8
791,92,4.64679,4.29209,8
792,93,4.81666,5.3591,8
793,94,4.22535,5.23339,8
794,95,5.46537,4.16491,8
795,96,4.95166,4.41944,8
796,97,4.72141,5.66453,8
797,98,3.91897,4.90004,8
798,99,5.28815,5.61814,8
799,100,4.93824,4.88266,8
800,1,5.33361,5.49795,9
801,2,5.3371,5.3902,9
802,3,5.19514,5.56221,9
803,4,5.21249,4.68936,9
804,5,5.15686,5.20685,9
805,6,5.22918,4.44046,9
806,7,4.49943,5.36933,9
807,8,5.94061,5.00914,9
808,9,5.44204,5.07844,9
809,10,5.13641,4.44658,9
810,11,5.06519,4.67728,9
811,12,5.38481,5.00337,9
812,13,5.44461,5.0368,9
813,14,4.21977,5.13814,9
814,15,5.91021,4.40196,9
815,16,4.25696,5.7435,9
816,17,4.92933,5.64025,9
817,18,4.90728,5.51912,9
818,19,5.83526,5.50837,9
819,20,5.76324,4.59381,9
820,21,5.02229,4.25274,9
821,22,5.57924,4.48818,9
822,23,5.09416,4.74294,9
823,24,5.06069,5.24825,9
824,25,4.96406,4.77392,9
825,26,5.33238,4.40982,9
826,27,4.80797,5.2011,9
827,28,4.54252,5.0173,9
828,29,4.63362,4.91298,9
829,30,4.51987,5.35302,9
