,spot ID,Track ID,T (sec),x (micron),y (micron),Frame,Ids,squared displacement,dt,vx,vy,speed
4565,131853,57,602.888,117.317,113.177,181,,37.67630400000015,1.0,-0.031221855298713123,-0.09336535574902217,0.09844741694140709
4566,131855,57,606.219,117.99,114.161,182,,34.038097000000086,1.0,0.20204142900030075,0.2954067847493229,0.3578909156550587
4567,131857,57,609.55,117.99,114.161,183,,34.038097000000086,1.0,0.0,0.0,0.0
4568,131859,57,612.881,117.835,113.954,184,,34.71308500000006,1.0,-0.046532572800961014,-0.06214350045031758,0.07763436725893602
4569,131861,57,616.212,117.369,113.436,185,,37.90408100000007,1.0,-0.13989792854998317,-0.15550885619933547,0.20917560749045713
4570,131863,57,619.543,117.369,113.436,186,,37.90408100000007,1.0,0.0,0.0,0.0
4571,131865,57,622.874,117.369,113.126,187,,36.90960100000006,1.0,0.0,-0.09306514560192203,0.09306514560192203
4572,131867,57,626.204,117.369,113.126,188,,36.90960100000006,1.0,0.0,0.0,0.0
4573,131869,57,629.535,117.214,113.022,189,,38.47205000000008,1.0,-0.046532572800961014,-0.03122185529870886,0.05603645759476816
4574,131871,57,632.866,117.214,112.763,190,,37.84242100000008,1.0,0.0,-0.07775442809966987,0.07775442809966987
4575,131873,57,636.197,117.007,112.763,191,,40.39204,1.0,-0.06214350045031331,0.0,0.06214350045031331
4576,131875,57,639.528,116.852,112.608,192,,42.04465000000002,1.0,-0.046532572800961014,-0.046532572800961014,0.06580699554723246
4577,131877,57,642.859,116.852,112.608,193,,42.04465000000002,1.0,0.0,0.0,0.0
4578,131879,57,646.19,116.593,112.298,194,,44.95461700000002,1.0,-0.07775442809966987,-0.09306514560192203,0.12127189457996308
4579,131881,57,649.521,116.748,111.935,195,,42.59000500000001,1.0,0.046532572800961014,-0.10897628339837873,0.11849519262316295
4580,131883,57,652.851,116.438,111.884,196,,46.705410000000036,1.0,-0.09306514560192203,-0.015310717502252156,0.09431616720552588
4581,131885,57,656.182,116.334,111.832,197,,48.118250000000025,1.0,-0.03122185529870886,-0.015610927649356562,0.03490709541578846
4582,131887,57,659.513,116.334,111.832,198,,48.118250000000025,1.0,0.0,0.0,0.0
4583,131889,57,662.844,116.282,111.625,199,,48.82087300000013,1.0,-0.015610927649356562,-0.06214350045031331,0.06407429835972873
4584,131896,58,0.0,119.75,74.003,0,,0.0,,,,
4585,131898,58,3.331,119.853,74.003,1,,0.010608999999998852,1.0,0.030921645151604452,0.0,0.030921645151604452
4586,131900,58,6.662,119.853,74.003,2,,0.010608999999998852,1.0,0.0,0.0,0.0
4587,131902,58,9.993,119.853,74.003,3,,0.010608999999998852,1.0,0.0,0.0,0.0
4588,131904,58,13.323,119.853,74.003,4,,0.010608999999998852,1.0,0.0,0.0,0.0
4589,131906,58,16.654,119.853,74.003,5,,0.010608999999998852,1.0,0.0,0.0,0.0
4590,131908,58,19.985,119.853,74.003,6,,0.010608999999998852,1.0,0.0,0.0,0.0
