xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
46.5407	174.785	5.73064	33.9327	170.993	0.233869	41.5	173.267	6.01618	0.00167844	118.5	126.953	8.10135	6.19583	0.644279	9.12647	5.70306	0.780711	15.2358	6.44312	0.90618	1	19
114.154	158.407	0.259671	107.775	160.386	0.411092	111.459	159.243	0.301659	0.000862881	23	30.1421	4.1377	1.86808	0.892283	3.44879	1.66548	0.875667	7.58403	1.60952	0.977221	1	22
306.148	160.762	4.70763	306.057	154.651	4.63011	306.105	158.026	4.71662	0.00170834	24	27.6569	3.84889	1.77741	0.886985	3.2951	1.60579	0.873219	7.07093	1.70359	0.970543	1	23
36.3534	158.227	5.49683	29.8726	151.684	5.42169	33.5556	155.407	5.48952	0.00071247	36.5	40.8701	5.56852	1.90623	0.939583	4.50885	1.8807	0.908855	10.4494	1.72797	0.986232	1	24
302.37	143.243	1.02952	294.285	155.316	1.09152	298.81	148.555	1.00691	0.000266961	99	87.2548	6.89334	4.20077	0.792867	11.9858	3.00847	0.967986	17.2007	3.71864	0.976351	1	25
263.669	131.996	0.410349	255.074	135.077	0.304519	259.902	133.344	0.350841	0.000142636	42.5	41.2132	5.48389	2.16302	0.918925	4.74779	2.00278	0.906674	10.4425	1.95383	0.98234	1	27
73.6921	127.962	2.29953	78.2533	138.216	1.85421	76.0957	133.365	1.96492	0.012113	75	92.9117	5.04338	4.13758	0.571792	9.25574	3.72174	0.915595	13.4688	3.95235	0.955976	1	28
47.4555	128.402	4.32482	49.7073	122.519	4.37771	48.3125	126.125	4.33948	0.00065669	18	30.1421	4.34882	1.65727	0.92454	3.50859	1.5137	0.902148	7.47257	1.39913	0.982315	1	29
98.7628	110.927	3.87821	103.486	106.788	3.8469	101.762	108.31	3.85952	0.000132499	29.5	29.2132	3.15963	1.8924	0.800802	4.5515	2.0142	0.896751	7.48156	1.76934	0.971633	1	30
313.178	102.169	1.94715	315.571	109.727	1.84384	314.482	106.286	1.87524	0.00273095	37.5	39.5563	3.96058	2.25621	0.821877	5.90567	2.02205	0.939557	9.38619	1.964	0.977864	1	31
22.5313	124.419	4.89994	20.6295	116.623	5.00563	21.7344	121.156	4.94709	0.0013652	46	38.1421	5.20453	2.51685	0.875296	4.36408	2.16058	0.868846	9.26828	2.24314	0.97027	1	32
32.7108	102.551	4.26433	35.9276	95.3204	4.26447	34.0385	99.5769	4.28641	1.5085e-06	36	36.6274	5.36814	2.07061	0.922615	3.99967	1.96733	0.870666	9.12196	1.85811	0.979034	1	33
128.742	97.1396	1.8961	131.401	106.495	1.85577	130.227	102.364	1.85257	0.00124538	45	44.9706	4.96096	2.06683	0.909081	6.36811	2.05784	0.946348	11.2262	1.89745	0.985613	1	34
58.3645	104.709	3.60895	67.6543	99.5977	3.71192	63.2549	102.02	3.65355	0.000727755	29.5	48.8701	5.09253	1.7675	0.937837	7.18842	1.56265	0.976086	12.3282	1.50467	0.992524	1	35
7.71172	97.8439	5.00784	5.58533	92.5569	5.03111	6.78947	95.5526	5.07752	0.00037932	25	27.3137	3.74188	2.13803	0.820687	3.38466	1.86349	0.834789	6.65598	1.85929	0.960192	1	36
