,Spot ID,Track_ID,X (micron),Y (micron),T (sec),Frame,is main track,which main track id,frame range
376,5045,1,13.7,120.78,586.23,176,False,,
377,5047,1,13.7,120.78,589.56,177,False,,
378,5049,1,13.7,120.78,592.9,178,False,,
379,5051,1,13.7,120.78,596.23,179,False,,
380,5053,1,13.7,120.78,599.56,180,False,,
381,5055,1,13.9,121.34,602.89,181,False,,
382,5057,1,13.9,121.82,606.22,182,False,,
383,5059,1,13.9,121.82,609.55,183,False,,
384,5061,1,13.63,120.99,612.88,184,False,,
385,5063,1,13.7,120.72,616.21,185,False,,
386,5065,1,13.7,120.51,619.54,186,False,,
387,5067,1,13.63,120.37,622.87,187,False,,
388,5069,1,13.56,120.03,626.2,188,False,,
389,5071,1,13.56,120.03,629.54,189,False,,
390,5073,1,13.56,120.03,632.87,190,False,,
391,5075,1,13.56,120.03,636.2,191,False,,
392,5077,1,13.56,120.03,639.53,192,False,,
393,5079,1,13.56,120.03,642.86,193,False,,
394,5081,1,13.49,119.68,646.19,194,False,,
395,5083,1,13.63,119.75,649.52,195,False,,
396,5085,1,13.63,120.16,652.85,196,False,,
397,5087,1,13.56,119.96,656.18,197,False,,
398,5089,1,13.56,119.96,659.51,198,False,,
399,5091,1,13.56,119.96,662.84,199,False,,
400,5094,2,143.78,43.83,0.0,0,False,,
401,5096,2,143.66,43.47,3.33,1,False,,
402,5098,2,143.35,42.85,6.66,2,False,,
403,5100,2,142.31,42.12,9.99,3,False,,
404,5102,2,141.8,41.71,13.32,4,False,,
405,5104,2,141.8,41.71,16.65,5,False,,
406,5106,2,140.76,41.5,19.99,6,False,,
407,5108,2,140.76,41.5,23.32,7,False,,
408,5110,2,140.45,41.4,26.65,8,False,,
409,5112,2,140.14,41.09,29.98,9,False,,
410,5114,2,139.52,40.88,33.31,10,False,,
411,5116,2,139.52,40.88,36.64,11,False,,
412,5118,2,139.52,40.88,39.97,12,False,,
413,5120,2,139.41,40.88,43.3,13,False,,
414,5122,2,140.76,40.78,46.63,14,False,,
415,5124,2,139.93,40.88,49.96,15,False,,
416,5126,2,139.93,40.88,53.29,16,False,,
417,5128,2,138.9,40.68,56.62,17,False,,
418,5130,2,138.48,40.37,59.96,18,False,,
419,5132,2,138.07,40.26,63.29,19,False,,
420,5134,2,137.55,40.26,66.62,20,False,,
421,5136,2,136.59,40.12,69.95,21,False,,
422,5138,2,135.96,40.19,73.28,22,False,,
423,5140,2,135.0,40.19,76.61,23,False,,
424,5142,2,135.48,40.19,79.94,24,False,,
425,5144,2,134.31,39.99,83.27,25,False,,
426,5146,2,133.48,39.99,86.6,26,False,,
427,5148,2,132.86,39.85,89.93,27,False,,
428,5150,2,132.86,39.85,93.26,28,False,,
429,5152,2,132.86,39.85,96.6,29,False,,
430,5154,2,132.86,39.85,99.93,30,False,,
431,5156,2,132.86,39.85,103.26,31,False,,
432,5158,2,132.86,39.85,106.59,32,False,,
433,5160,2,133.2,39.92,109.92,33,False,,
434,5162,2,133.34,40.05,113.25,34,False,,
435,5164,2,132.93,40.05,116.58,35,False,,
436,5166,2,132.58,39.85,119.91,36,False,,
437,5168,2,133.27,39.92,123.24,37,False,,
438,5170,2,133.14,39.5,126.57,38,False,,
439,5172,2,132.72,39.92,129.9,39,False,,
440,5174,2,132.31,40.12,133.23,40,False,,
441,5176,2,131.55,40.47,136.57,41,False,,
442,5178,2,131.41,40.95,139.9,42,False,,
443,5180,2,131.89,40.74,143.23,43,False,,
444,5182,2,131.27,40.68,146.56,44,False,,
445,5184,2,131.27,40.68,149.89,45,False,,
446,5186,2,130.93,40.81,153.22,46,False,,
447,5188,2,130.31,40.88,156.55,47,False,,
448,5190,2,129.82,40.61,159.88,48,False,,
449,5192,2,129.48,40.81,163.21,49,False,,
450,5194,2,129.41,40.74,166.54,50,False,,
451,5196,2,129.48,40.74,169.87,51,False,,
452,5198,2,129.55,40.54,173.21,52,False,,
453,5200,2,129.06,41.23,176.54,53,False,,
454,5205,2,129.34,41.02,179.87,54,False,,
455,5208,2,129.34,41.16,183.2,55,False,,
456,5210,2,129.34,41.16,186.53,56,False,,
457,5212,2,129.34,41.16,189.86,57,False,,
458,5214,2,129.13,41.43,193.19,58,False,,
459,5216,2,128.93,41.64,196.52,59,False,,
460,5218,2,128.72,41.78,199.85,60,False,,
461,5220,2,128.65,42.19,203.18,61,False,,
462,5222,2,128.65,42.19,206.51,62,False,,
463,5224,2,128.37,42.61,209.85,63,False,,
464,5226,2,128.37,42.4,213.18,64,False,,
465,5228,2,128.75,42.07,216.51,65,False,,
466,5230,2,128.75,42.07,219.84,66,False,,
467,5232,2,128.6,42.12,223.17,67,False,,
468,5234,2,128.6,42.02,226.5,68,False,,
469,5236,2,128.6,42.12,229.83,69,False,,
470,5238,2,128.81,42.07,233.16,70,False,,
471,5240,2,128.81,42.07,236.49,71,False,,
472,5242,2,128.81,42.07,239.82,72,False,,
473,5244,2,128.81,42.07,243.15,73,False,,
