Spot ID,Track ID,x (micrón),y (micrón),t (sec),Frame
8145,10,63.29350563,42.33300377,313.4489045,94
8147,10,63.34500564,42.33300377,316.7834673,95
8149,10,63.32783897,42.33300377,320.1180302,96
8151,10,63.37933897,42.21283709,323.452593,97
8153,10,63.36217231,42.24717043,326.7871558,98
8155,10,63.34500564,42.28150376,330.1217186,99
8157,10,63.36217231,42.35017044,333.4562814,100
8159,10,63.24200563,42.35017044,336.7908442,101
8161,10,63.2591723,42.33300377,340.125407,102
8163,10,63.36217231,42.3158371,343.4599698,103
8165,10,63.29350563,42.28150376,346.7945327,104
8167,10,63.39650564,42.29867043,350.1290955,105
8169,10,63.41367231,42.21283709,353.4636583,106
8171,10,63.44800565,41.74933705,356.7982211,107
8175,10,63.48233898,41.76650372,360.1327839,108
8177,10,63.48233898,41.83517039,363.4673467,109
8179,10,63.55100566,41.9896704,366.8019095,110
8181,10,63.56817232,42.3158371,370.1364724,111
8185,10,63.67117233,42.52183712,373.4710352,112
8187,10,63.73983901,42.57333712,376.805598,113
8189,10,63.84283902,42.67633713,380.1401608,114
8191,10,63.98017236,42.98533716,383.4747236,115
8195,10,64.0145057,43.05400383,386.8092864,116
8197,10,64.49517241,43.67200389,390.1438492,117
8199,10,64.8213391,43.99817058,393.4784121,118
8203,10,65.09600579,44.25567061,396.8129749,119
8205,10,65.38783915,44.61617064,400.1475377,120
8207,10,65.11317246,44.29000394,403.4821005,121
8211,10,65.13033913,44.41017062,406.8166633,122
8215,10,65.23333914,44.47883729,410.1512261,123
8219,10,65.5251725,44.92517067,413.4857889,124
8221,10,65.76550585,45.25133736,416.8203518,125
8225,10,65.76550585,45.30283737,420.1549146,126
8229,10,65.61100584,45.01100401,423.4894774,127
8233,10,65.59383917,44.97667067,426.8240402,128
8235,10,65.88567253,45.49167072,430.158603,129
8237,10,66.05733921,46.02383743,433.4931658,130
8239,10,66.21183923,46.43583747,436.8277286,131
8241,10,66.21183923,46.24700412,440.1622915,132
8245,10,66.19467256,46.19550411,443.4968543,133
8247,10,66.17750589,46.0925041,446.8314171,134
8249,10,65.98867254,45.90367075,450.1659799,135
8251,10,65.9543392,45.80067074,453.5005427,136
8253,10,66.10883922,46.17833744,456.8351055,137
8257,10,66.10883922,46.14400411,460.1696683,138
8259,10,66.2805059,46.67617082,463.5042312,139
8261,10,66.58950593,47.31133754,466.838794,140
8263,10,66.58950593,47.46583756,470.1733568,141
8265,10,66.52083925,47.48300423,473.5079196,142
8267,10,66.46933925,48.23833763,476.8424824,143
8269,10,66.52083925,48.83917101,480.1770452,144
8271,10,66.62383926,49.23400438,483.511608,145
8273,10,66.69250594,49.50867107,486.8461709,146
8275,10,67.0873393,50.1438378,490.1807337,147
8277,10,66.98433929,50.12667113,493.5152965,148
8279,10,67.22467265,50.40133782,496.8498593,149
8283,10,67.67100602,51.39700457,500.1844221,150
8289,10,67.67100602,51.7060046,503.5189849,151
8293,10,67.72250603,51.87767128,506.8535477,152
8295,10,67.72250603,51.72317127,510.1881106,153
8297,10,67.70533936,51.79183794,513.5226734,154
8299,10,67.61950602,51.44850458,516.8572362,155
8301,10,67.67100602,51.74033794,520.191799,156
8303,10,67.8426727,52.01500463,523.5263618,157
8305,10,68.28900608,52.42700467,526.8609246,158
8307,10,68.40917276,52.61583802,530.1954874,159
8309,10,68.66667278,53.5428381,533.5300503,160
8315,10,68.78683946,53.85183813,536.8646131,161
8319,10,68.97567281,54.88183822,540.1991759,162
8323,10,69.13017282,55.36250493,543.5337387,163
8329,10,69.18167282,55.56850495,546.8683015,164
8331,10,69.21600616,55.62000495,550.2028643,165
