#vx_post  vy_post  v_post
0.739394 -3.58903 3.6644
-8.42309 -8.44746 11.9293
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-0.241187 0.860019 0.893198
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-2.26504 9.78784 10.0465
-4.98235 -4.54589 6.74454
0 0 0
0 0 0
-9.94937 -9.94845 14.0699
9.87234 13.7831 16.954
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-5.99742 -2.44099 6.47515
0 0 0
0 0 0
0 0 0
0 0 0
6.1078 -4.9984 7.89235
1.95908 -5.02232 5.39089
-3.31582 8.76298 9.36934
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
9.29822 5.06526 10.5884
0.418187 -6.86037 6.8731
0 0 0
0 0 0
2.89645 4.24073 5.13549
-4.01586 -0.480392 4.04449
0 0 0
2.42015 0.575501 2.48763
-4.67752 7.47932 8.82153
1.45591 1.53346 2.11451
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1.30716 -0.867433 1.56879
0 0 0
0 0 0
9.18624 8.41366 12.457
0 0 0
0 0 0
-6.50113 1.07518 6.58944
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
6.98005 -5.0206 8.59811
0 0 0
-2.24822 9.27618 9.54474
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-12.7199 -0.0651049 12.7201
0 0 0
0 0 0
0 0 0
-9.3562 -1.72617 9.51411
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1.81071 5.50058 5.79094
-2.77051 8.74017 9.16877
-8.11837 -8.85778 12.0153
0.482828 -0.977752 1.09047
0 0 0
0 0 0
0 0 0
7.40972 5.53235 9.24721
-3.42458 9.22963 9.84448
0 0 0
1.0565 4.60143 4.72116
0 0 0
-1.3067 6.37077 6.5034
5.05416 2.47034 5.62558
0 0 0
-1.88858 1.67129 2.52189
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-6.6533 -6.08371 9.01543
4.49674 2.54094 5.16498
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-5.58873 -1.45202 5.77428
2.58247 6.12484 6.64701
0 0 0
-4.56529 7.44398 8.73239
0.31583 2.0118 2.03644
0 0 0
0 0 0
0 0 0
0 0 0
7.91288 5.37425 9.56537
0 0 0
0 0 0
0 0 0
0 0 0
0.970116 1.03006 1.41497
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.548796 2.54102 2.59961
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
3.74747 -0.270449 3.75722
0 0 0
0 0 0
9.27972 4.74827 10.424
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-0.872816 11.0037 11.0382
0 0 0
3.78032 -8.65749 9.44685
0 0 0
0 0 0
0.640316 1.27587 1.42754
4.38713 2.77061 5.18876
0 0 0
0 0 0
4.13927 8.5267 9.47831
0 0 0
1.07498 1.08256 1.52562
1.19712 -1.09992 1.62571
0.524565 -7.98157 7.99879
0 0 0
5.88649 2.74186 6.49373
0 0 0
0 0 0
2.33311 -8.75818 9.06362
0 0 0
0.20665 12.0963 12.0981
0 0 0
0 0 0
0 0 0
-0.0859502 9.4679 9.46829
1.87083 5.19241 5.51916
-0.862397 -0.894802 1.24274
0 0 0
0 0 0
0 0 0
0 0 0
-6.71395 5.91456 8.94758
3.28544 5.25629 6.1986
-0.367408 0.318892 0.486499
0 0 0
0 0 0
0 0 0
0 0 0
4.4142 -6.64214 7.97516
0 0 0
0 0 0
0 0 0
10.3178 -1.17192 10.3841
-2.48186 -9.92655 10.2321
-1.86945 4.36982 4.75291
-3.12578 2.8827 4.25211
-2.1347 -2.28028 3.12356
-4.03644 4.72264 6.21258
0 0 0
0 0 0
5.05792 3.23044 6.00153
-8.29709 4.4441 9.41232
5.86601 8.23524 10.1109
-0.222444 0.183563 0.288403
0 0 0
0 0 0
-7.65948 -6.43903 10.0064
0 0 0
1.8405 -9.18303 9.36565
-5.67243 0.591056 5.70314
