 ,Label,Area,X,Y,XM,YM
133,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,8.763,48.806,43.825,48.806,43.825
134,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,3.066,31.395,41.939,31.395,41.939
135,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,9.898,19.509,45.461,19.509,45.461
136,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,2.514,24.527,46.188,24.527,46.188
137,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,3.798,33.406,47.499,33.406,47.499
138,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,2.504,2.098,48.282,2.098,48.282
139,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,1.443,54.139,10.820,54.139,10.820
140,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,1.496,53.560,14.400,53.560,14.400
141,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,2.440,54.581,16.199,54.581,16.199
142,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,3.225,37.881,15.676,37.881,15.676
143,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,1.941,4.544,18.261,4.544,18.261
144,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,4.466,17.074,20.000,17.074,20.000
145,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,5.220,54.026,21.894,54.026,21.894
146,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,6.227,38.147,28.836,38.147,28.836
147,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,2.790,53.619,28.767,53.619,28.767
148,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,4.307,33.951,34.677,33.951,34.677
149,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,6.779,12.811,34.651,12.811,34.651
150,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,4.371,29.517,40.025,29.517,40.025
151,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,4.116,19.792,40.773,19.792,40.773
152,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,4.413,49.242,42.129,49.242,42.129
153,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,3.119,31.592,42.010,31.592,42.010
154,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,4.371,48.415,45.380,48.415,45.380
155,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,9.845,19.135,45.692,19.135,45.692
156,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,2.472,24.684,46.108,24.684,46.108
157,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,3.830,33.443,47.444,33.443,47.444
158,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,2.472,2.122,48.321,2.122,48.321
159,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,2.483,10.793,1.931,10.793,1.931
160,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,1.379,54.164,10.752,54.164,10.752
161,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,1.602,53.576,14.403,53.576,14.403
162,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,7.808,54.221,20.051,54.221,20.051
163,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,3.268,37.758,15.675,37.758,15.675
164,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,1.910,4.611,18.212,4.611,18.212
165,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,7.341,23.943,19.229,23.943,19.229
166,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,5.251,30.141,19.293,30.141,19.293
167,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,4.498,17.154,20.019,17.154,20.019
168,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,6.037,38.395,28.603,38.395,28.603
169,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,2.780,53.697,28.892,53.697,28.892
