xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
30.0532	204.97	1.89535	30.6367	210.506	1.58142	30.4167	208.417	1.66541	0.00500102	12	24.4853	2.42159	1.42021	0.809966	3.97129	1.50034	0.925889	6.34961	1.2755	0.979616	1	23
158.382	219.966	4.47162	159.219	213.805	4.44941	158.731	217.385	4.55309	0.00016351	13	28.9706	3.80719	1.56427	0.911693	3.37107	1.43835	0.904405	7.14936	1.30282	0.983256	1	25
55.91	203.287	1.29668	52.74	209.14	1.03966	53.9737	206.842	1.0767	0.000893993	24.5	30.3848	3.05291	1.7546	0.818344	4.82915	1.7717	0.93027	7.67263	1.61466	0.977606	1	27
32.5849	224.269	4.88018	31.7578	218.577	4.84677	32.2	221.633	4.85985	0.000664257	17	25.6569	3.76703	1.68793	0.893994	3.26917	1.6069	0.87086	6.67162	1.45774	0.975837	1	28
258.726	202.937	2.61027	274.469	209.797	2.57965	266.681	206.405	2.68964	0.000160026	78	92.2254	10.833	2.58962	0.971008	11.9219	2.64966	0.974989	20.5861	2.80001	0.990707	1	29
34.1063	196.886	3.09729	41.4069	196.556	3.14586	38.0882	196.706	3.17147	5.43104e-05	18	32.4853	3.46292	1.77646	0.858391	5.35991	1.46772	0.961777	8.54935	1.30688	0.988247	1	30
59.8319	196.015	4.12946	63.512	191.007	3.96188	61.3871	193.903	4.07652	0.000524796	18.5	28.3848	3.90975	1.69933	0.900604	3.44876	1.57757	0.889245	7.18789	1.42127	0.980256	1	31
138.736	192.035	2.82529	147.55	195.399	2.71321	143.571	193.886	2.76874	0.00127841	16.5	40.3848	4.39745	1.41044	0.947167	6.418	1.30834	0.979001	10.9688	1.1393	0.994591	1	32
63.7828	182.441	1.09318	61.2135	187.702	1.01163	62.3182	185.409	1.08883	0.000360037	10	27.799	2.78464	1.44933	0.853878	4.67415	1.34022	0.958011	7.06836	1.15216	0.986626	1	33
246.031	177.206	1.32752	244.83	182.173	1.42991	245.391	179.87	1.34843	0.00228432	12	23.3137	2.44959	1.60788	0.754422	3.19578	1.52318	0.879109	5.83265	1.3496	0.972862	1	34
232.772	190.291	4.62432	233.166	178.42	4.66534	232.955	184.818	4.66948	0.00173709	40.5	56.0416	7.40363	1.84324	0.968513	6.37111	1.80855	0.958864	13.6879	1.65619	0.992653	1	35
207.865	185.319	5.75683	200.007	180.466	4.25196	204.183	183.029	5.72214	0.00282835	72	76.9117	5.55538	4.20653	0.653185	6.08594	4.95156	0.581415	10.6316	5.09017	0.877936	1	36
37.8612	171.463	0.777156	33.3635	176.042	0.811566	36.2222	173.148	0.783723	0.000176749	13	31.799	4.06442	1.57516	0.921849	3.58239	1.52552	0.904798	7.58094	1.34148	0.984219	1	37
241.282	162.178	1.36404	244.012	167.526	2.03348	242.771	165.114	2.01467	0.00311033	19.5	34.3848	3.22726	2.29193	0.704023	4.57135	1.74049	0.924683	7.10861	2.07174	0.956589	1	39
235.631	162.091	0.987491	231.961	168.686	1.09385	233.686	165.6	1.05864	0.000522763	20	33.799	4.40991	1.56095	0.935259	4.70296	1.53556	0.945194	8.8836	1.32695	0.988781	1	40
1.31511	159.885	1.37049	0.529399	166.33	1.42519	0.84	163.8	1.44291	0.0014416	10.5	29.8995	2.65646	1.50631	0.823693	4.76872	1.28883	0.962785	7.608	1.10267	0.989441	1	41
45.4916	150.942	0.563732	36.5275	156.286	0.499107	41.3103	153.431	0.536584	0.000289402	38	46.2843	6.08433	1.80019	0.955227	5.93867	1.70789	0.957754	12.1112	1.57021	0.99156	1	42
159.774	149.219	1.40671	158.243	154.295	1.28768	158.885	152.154	1.28438	0.000919021	14	26.1421	2.60158	1.72201	0.749586	4.00413	1.46671	0.930497	6.47076	1.35187	0.977933	1	43
240.568	151.178	4.31433	243.389	144.367	4.22929	241.781	148.25	4.31015	0.000342752	16.5	34.3848	5.11754	1.54205	0.953521	4.38984	1.42665	0.945718	8.69428	1.2622	0.989406	1	44
58.6762	141.175	0.667748	54.1057	144.67	0.660028	57.0769	142.385	0.656691	3.64237e-05	14.5	25.5563	3.69895	1.74572	0.881625	2.94208	1.32553	0.892756	6.44528	1.35758	0.977565	1	45
15.5291	132.101	0.615626	6.7063	142.487	0.960819	11.2824	137.118	0.868878	0.00638119	53.5	77.1543	5.75754	3.79829	0.751523	8.67543	1.79928	0.978256	15.4826	3.05372	0.980356	1	46
60.1855	146.236	3.73727	64.6119	141.844	3.98462	62.6316	143.816	3.91949	0.00212394	25.5	28.3848	3.19095	1.97944	0.784343	4.30953	1.73343	0.915538	7.27564	1.70666	0.972099	1	47
68.5991	133.339	0.613867	64.7313	136.731	0.802532	67	134.741	0.716318	0.00137862	15.5	25.5563	3.17114	1.74633	0.834707	3.1163	1.5688	0.864042	6.11892	1.4635	0.970976	1	48
93.0024	128.931	3.52514	99.836	126.277	3.54152	96.75	127.464	3.52068	6.7438e-05	13	32.1421	3.41604	1.50174	0.898186	4.51497	1.40309	0.950487	8.43525	1.2036	0.989768	1	50
93.4453	121.031	4.27576	97.0531	113.325	4.2533	95.1163	117.465	4.27401	0.000167057	25	39.799	5.08138	1.70918	0.941733	4.75025	1.62228	0.939877	9.80151	1.44252	0.989111	1	51
185.297	117.385	5.90145	176.477	113.517	5.84761	181.488	115.721	5.87161	0.000280801	24.5	40.3848	5.48929	1.67631	0.952231	4.59088	1.5631	0.940252	10.7899	1.42567	0.991232	1	52
100.844	118.842	2.47939	106.563	122.557	2.5	104	120.885	2.54759	0.00129195	12.5	30.3848	3.16818	1.58615	0.865649	4.34205	1.46055	0.941729	7.78771	1.26727	0.986671	1	53
184.527	112.205	5.83646	177.336	109.47	5.81736	181.533	111.067	5.90195	9.81064e-05	14	35.799	4.83952	1.47387	0.952497	3.33557	1.65856	0.867617	8.65024	1.37274	0.987328	1	54
199.244	95.238	4.32094	201.948	88.013	4.37677	200.537	91.8049	4.35288	0.000587245	25	34.9706	4.59291	1.71224	0.927912	4.16183	1.76929	0.905136	8.83753	1.533	0.98484	1	56
302.872	85.2675	5.74445	296.458	82.0281	5.86543	300.012	83.8148	5.81031	0.000221414	57.5	52.0416	4.65819	3.7404	0.596016	4.00135	3.51657	0.477107	8.33105	3.55368	0.90446	1	57
249.811	79.1681	3.44404	255.121	78.0994	3.33471	252.84	78.56	3.34376	0.000134341	13	24.4853	2.53806	1.57478	0.784233	3.65811	1.52708	0.9087	6.17782	1.32578	0.976701	1	58
